Districtid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43,week44,week45,week46,week47,week48,week49,week50,week51,week52,week53,week54,week55,week56,week57,week58,week59,week60,week61,week62,week63,week64,week65,week66,week67,week68,week69,week70,week71,week72,week73,week74
WB_Jhargram,0,0,0,0,0,0,0,0,3,0,3,0,5,8,0,0,6,3,0,2,30,76,41,61,52,68,150,188,191,176,277,233,200,215,203,174,172,162,111,75,50,38,17,21,18,7,5,1,0,5,7,13,1,1,5,14,44,137,503,732,1126,1195,1113,845,511,401,302,335,206,273,235,174,154,93
WB_Kalimpong,0,0,0,0,0,0,7,0,0,0,0,4,29,10,2,4,0,7,14,16,34,157,114,57,75,80,141,143,125,124,128,87,76,79,88,87,92,118,87,71,77,40,16,13,13,7,6,1,0,6,0,0,2,0,9,25,62,85,369,296,391,513,661,352,260,191,135,133,139,145,113,118,173,156
WB_Kolkata,0,0,0,0,0,0,184,727,354,348,440,631,830,1013,875,1462,2290,3528,4871,4800,4888,4515,3938,3591,3258,3504,3566,4203,4616,5254,5345,5975,6282,6099,5924,5719,6141,5566,4837,3779,2569,1894,1481,1274,703,509,349,359,392,466,511,542,704,1295,2602,5244,10553,17656,26886,27575,27706,25054,16615,7897,3638,2416,1227,1013,565,517,445,449,473,498
WB_Malda,0,0,0,0,0,0,0,7,18,25,87,68,50,130,148,247,316,530,391,382,621,759,627,459,273,376,598,429,473,684,693,680,727,545,431,314,276,380,250,214,193,96,51,50,21,26,16,8,13,7,18,18,28,61,111,579,1617,3387,3829,3561,2563,1463,1113,729,422,168,83,46,53,46,44,14,34,53
WB_Murshidabad,0,0,0,0,0,0,2,-1,4,30,48,37,42,23,37,48,69,136,143,238,402,597,791,596,453,605,659,622,600,607,615,673,637,609,564,458,416,309,297,290,190,114,121,77,72,25,16,12,13,10,15,10,28,36,116,558,1395,3061,3516,3179,3241,2848,1601,799,366,167,101,72,66,53,26,32,29,30
WB_Nadia,0,0,0,0,0,0,6,3,3,13,48,57,56,75,34,44,70,135,200,312,505,643,555,805,798,941,784,759,890,885,1064,1286,1285,1262,1398,1452,1639,1094,881,780,601,419,310,180,128,67,84,34,22,30,36,27,45,62,139,446,1242,2869,5057,6069,7246,7197,6086,3766,2452,1135,741,505,374,323,340,327,350,313
WB_North 24 Parganas,0,0,0,0,0,0,47,196,93,109,230,360,458,411,641,1001,1726,2760,3834,3873,4228,4142,4510,4188,4314,3946,3618,4191,4565,5147,5354,6085,6202,5984,5851,5383,5884,5119,4620,3642,2483,1985,1608,1440,869,609,379,352,315,365,363,417,561,855,1778,4351,9130,15490,25572,27704,28664,28862,22384,13938,7171,3264,1733,1158,750,646,603,662,681,573
WB_Paschim Bardhaman,0,0,0,0,0,0,7,5,5,4,27,19,35,18,13,24,43,121,308,267,659,499,764,678,772,980,798,761,589,635,736,819,756,700,711,592,609,608,604,620,426,364,206,191,124,85,69,44,44,47,71,76,118,146,406,961,1927,4019,5870,6358,6469,5028,4326,1671,824,430,355,300,160,135,115,116,94,76
WB_Paschim Medinipur,0,0,0,0,0,0,0,17,2,7,7,60,201,35,26,40,70,218,283,254,218,648,843,1299,1261,1256,1626,907,885,741,1048,1234,1058,1257,1216,588,528,512,609,405,334,199,120,83,41,27,15,28,14,17,24,15,35,34,72,158,417,757,1550,3124,5495,5652,3877,2585,1863,1111,958,1097,707,356,294,277,263,269
WB_Purba Bardhaman,0,0,0,0,0,0,1,4,7,13,53,44,9,18,14,20,36,113,256,377,444,465,428,332,418,590,521,540,465,591,632,720,695,627,597,548,648,599,586,419,294,181,137,78,57,30,20,22,18,18,18,14,21,34,96,305,1023,2175,3522,4009,4329,4109,2872,1700,892,570,353,376,260,233,201,202,167,114
WB_Purba Medinipur,0,0,0,0,0,0,22,22,7,1,44,43,60,45,62,78,111,270,503,290,816,1115,1263,1198,1103,1333,983,855,961,970,917,906,957,978,972,554,454,620,544,466,398,241,187,100,81,57,33,26,20,19,30,26,22,39,93,284,737,2105,3757,4520,6072,5722,4137,3407,2930,2323,1106,721,523,494,364,338,288,287
WB_South 24 Parganas,0,0,0,0,0,0,12,45,26,37,64,67,160,203,308,429,716,1021,1221,1029,1350,1635,1441,1194,1259,1311,1419,1498,1605,1473,1593,1700,1847,1837,1636,1663,1685,1500,1147,1037,562,387,322,285,135,98,71,59,55,62,71,81,130,206,499,1166,2533,4641,6828,6793,8171,8640,7755,4719,2290,1528,844,681,334,298,305,358,326,378
WB_Uttar Dinajpur,0,0,0,0,0,0,0,0,5,15,134,50,11,17,47,39,64,178,280,328,152,241,420,225,252,315,287,348,357,287,250,245,233,274,261,216,160,311,143,129,106,90,23,58,39,25,22,14,23,17,25,28,28,48,72,196,460,1085,1557,1975,1826,1842,1245,846,519,320,231,149,95,65,66,45,66,56
