district,district_id,state_id
tuensang,NL_Tuensang,NL
udaipur,RJ_Udaipur,RJ
dewas,MP_Dewas,MP
shimla,HP_Shimla,HP
gariaband,CT_Gariaband,CT
bagalkote,KA_Bagalkote,KA
mandsaur,MP_Mandsaur,MP
gonda,UP_Gonda,UP
malkangiri,OR_Malkangiri,OR
doda,JK_Doda,JK
gautam buddha nagar,UP_Gautam Buddha Nagar,UP
namsai,AR_Namsai,AR
dhamtari,CT_Dhamtari,CT
viluppuram,TN_Viluppuram,TN
wokha,NL_Wokha,NL
budaun,UP_Budaun,UP
banka,BR_Banka,BR
mancherial,TG_Mancherial,TG
noney,MN_Noney,MN
north goa,GA_North Goa,GA
raipur,CT_Raipur,CT
junagadh,GJ_Junagadh,GJ
bathinda,PB_Bathinda,PB
puri,OR_Puri,OR
dakshin bastar dantewada,CT_Dakshin Bastar Dantewada,CT
deoghar,JH_Deoghar,JH
araria,BR_Araria,BR
jangaon,TG_Jangaon,TG
moradabad,UP_Moradabad,UP
nirmal,TG_Nirmal,TG
shahdara,DL_Shahdara,DL
umaria,MP_Umaria,MP
tonk,RJ_Tonk,RJ
west siang,AR_West Siang,AR
fatehabad,HR_Fatehabad,HR
gorakhpur,UP_Gorakhpur,UP
koppal,KA_Koppal,KA
sheikhpura,BR_Sheikhpura,BR
ajmer,RJ_Ajmer,RJ
peren,NL_Peren,NL
etawah,UP_Etawah,UP
tamenglong,MN_Tamenglong,MN
unnao,UP_Unnao,UP
siang,AR_Siang,AR
chikkaballapura,KA_Chikkaballapura,KA
north sikkim,SK_North Sikkim,SK
ujjain,MP_Ujjain,MP
kalahandi,OR_Kalahandi,OR
hojai,AS_Hojai,AS
madhepura,BR_Madhepura,BR
shahjahanpur,UP_Shahjahanpur,UP
pithoragarh,UT_Pithoragarh,UT
paschim medinipur,WB_Paschim Medinipur,WB
lower dibang valley,AR_Lower Dibang Valley,AR
pherzawl,MN_Pherzawl,MN
virudhunagar,TN_Virudhunagar,TN
latehar,JH_Latehar,JH
dakshin dinajpur,WB_Dakshin Dinajpur,WB
jabalpur,MP_Jabalpur,MP
east kameng,AR_East Kameng,AR
barpeta,AS_Barpeta,AS
kheda,GJ_Kheda,GJ
thiruvarur,TN_Thiruvarur,TN
kasganj,UP_Kasganj,UP
meerut,UP_Meerut,UP
basti,UP_Basti,UP
south sikkim,SK_South Sikkim,SK
nainital,UT_Nainital,UT
bongaigaon,AS_Bongaigaon,AS
darrang,AS_Darrang,AS
ernakulam,KL_Ernakulam,KL
mysuru,KA_Mysuru,KA
chhatarpur,MP_Chhatarpur,MP
bishnupur,MN_Bishnupur,MN
guntur,AP_Guntur,AP
lohit,AR_Lohit,AR
fatehpur,UP_Fatehpur,UP
thiruvananthapuram,KL_Thiruvananthapuram,KL
alirajpur,MP_Alirajpur,MP
pratapgarh,RJ_Pratapgarh,RJ
sahibganj,JH_Sahibganj,JH
east khasi hills,ML_East Khasi Hills,ML
nadia,WB_Nadia,WB
mamit,MZ_Mamit,MZ
kathua,JK_Kathua,JK
palwal,HR_Palwal,HR
almora,UT_Almora,UT
nayagarh,OR_Nayagarh,OR
karauli,RJ_Karauli,RJ
lawngtlai,MZ_Lawngtlai,MZ
gumla,JH_Gumla,JH
dhule,MH_Dhule,MH
mahoba,UP_Mahoba,UP
prayagraj,UP_Prayagraj,UP
rayagada,OR_Rayagada,OR
neemuch,MP_Neemuch,MP
pauri garhwal,UT_Pauri Garhwal,UT
jodhpur,RJ_Jodhpur,RJ
garhwa,JH_Garhwa,JH
longding,AR_Longding,AR
godda,JH_Godda,JH
uttarkashi,UT_Uttarkashi,UT
aravalli,GJ_Aravalli,GJ
begusarai,BR_Begusarai,BR
kolkata,WB_Kolkata,WB
mahendragarh,HR_Mahendragarh,HR
dehradun,UT_Dehradun,UT
rajgarh,MP_Rajgarh,MP
deoria,UP_Deoria,UP
dharmapuri,TN_Dharmapuri,TN
kolar,KA_Kolar,KA
shahid bhagat singh nagar,PB_Shahid Bhagat Singh Nagar,PB
rajsamand,RJ_Rajsamand,RJ
jhansi,UP_Jhansi,UP
amreli,GJ_Amreli,GJ
morbi,GJ_Morbi,GJ
