Districtid,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,month13,month14,month15,month16,month17
UP_Bijnor,0,0,0,0,0,0,34,8,4,24,25,50,55,18,40,59,79
UP_Budaun,0,0,0,0,0,0,16,1,0,17,4,7,7,36,39,26,47
UP_Bulandshahr,0,0,0,0,0,0,54,7,20,23,15,51,148,170,80,99,204
UP_Chandauli,0,0,0,0,0,0,0,0,8,9,5,7,16,23,53,58,70
UP_Chitrakoot,0,0,0,0,0,0,0,6,2,12,17,27,12,11,2,11,4
UP_Deoria,0,0,0,0,0,0,2,1,7,28,34,52,18,24,41,38,105
UP_Etah,0,0,0,0,0,0,11,-2,2,2,16,22,10,21,52,7,24
UP_Etawah,0,0,0,0,0,0,2,1,1,33,13,28,41,48,86,71,50
UP_Farrukhabad,0,0,0,0,0,0,0,1,12,11,11,19,9,34,39,59,48
UP_Fatehpur,0,0,0,0,0,0,0,2,5,26,15,13,35,17,16,25,52
UP_Firozabad,0,0,0,0,0,0,137,54,8,9,46,59,49,85,60,21,17
UP_Gautam Buddha Nagar,0,0,0,0,0,0,159,67,33,75,75,214,290,456,703,574,701
UP_Ghaziabad,0,0,0,0,0,0,68,64,47,47,69,108,198,217,515,690,993
UP_Ghazipur,0,0,0,0,0,0,6,1,20,50,27,53,28,74,66,40,25
UP_Gonda,0,0,0,0,0,0,3,8,13,15,24,19,28,19,27,19,38
UP_Gorakhpur,0,0,0,0,0,0,3,1,9,25,38,50,27,69,76,113,184
UP_Hapur,0,0,0,0,0,0,35,21,15,20,54,24,60,190,160,98,207
UP_Hardoi,0,0,0,0,0,0,2,0,11,20,17,46,47,35,33,39,47
UP_Hathras,0,0,0,0,0,0,6,3,11,2,6,8,29,47,55,27,9
UP_Jalaun,0,0,0,0,0,0,4,26,10,2,1,6,49,38,29,36,5
UP_Jaunpur,0,0,0,0,0,0,8,0,18,97,46,95,140,68,35,52,99
UP_Jhansi,0,0,0,0,0,0,9,11,10,1,6,10,28,23,47,88,294
UP_Kannauj,0,0,0,0,0,0,7,1,16,6,27,36,51,43,47,17,76
UP_Kanpur Dehat,0,0,0,0,0,0,1,2,4,2,11,10,13,9,6,11,9
UP_Kanpur Nagar,0,0,0,0,0,0,227,67,20,13,40,131,188,240,146,223,379
UP_Kasganj,0,0,0,0,0,0,3,0,4,6,3,8,7,10,2,53,73
UP_Kaushambi,0,0,0,0,0,0,2,0,6,36,4,1,4,10,10,39,52
UP_Kushinagar,0,0,0,0,0,0,0,3,0,5,3,43,3,29,31,43,61
