district,district_id,state_id
fatehgarh sahib,PB_Fatehgarh Sahib,PB
pilibhit,UP_Pilibhit,UP
tehri garhwal,UT_Tehri Garhwal,UT
dehradun,UT_Dehradun,UT
palamu,JH_Palamu,JH
churu,RJ_Churu,RJ
jangaon,TG_Jangaon,TG
gwalior,MP_Gwalior,MP
mokokchung,NL_Mokokchung,NL
yadadri bhuvanagiri,TG_Yadadri Bhuvanagiri,TG
nuapada,OR_Nuapada,OR
singrauli,MP_Singrauli,MP
azamgarh,UP_Azamgarh,UP
ajmer,RJ_Ajmer,RJ
tamenglong,MN_Tamenglong,MN
punch,JK_Punch,JK
srinagar,JK_Srinagar,JK
haveri,KA_Haveri,KA
indore,MP_Indore,MP
jalpaiguri,WB_Jalpaiguri,WB
lower siang,AR_Lower Siang,AR
mamit,MZ_Mamit,MZ
madhepura,BR_Madhepura,BR
dhalai,TR_Dhalai,TR
karnal,HR_Karnal,HR
bhandara,MH_Bhandara,MH
kondagaon,CT_Kondagaon,CT
hojai,AS_Hojai,AS
bhiwani,HR_Bhiwani,HR
sindhudurg,MH_Sindhudurg,MH
buxar,BR_Buxar,BR
dhanbad,JH_Dhanbad,JH
kamle,AR_Kamle,AR
mon,NL_Mon,NL
morena,MP_Morena,MP
mau,UP_Mau,UP
jhansi,UP_Jhansi,UP
anand,GJ_Anand,GJ
shamli,UP_Shamli,UP
west champaran,BR_West Champaran,BR
jhargram,WB_Jhargram,WB
jaisalmer,RJ_Jaisalmer,RJ
kasaragod,KL_Kasaragod,KL
damoh,MP_Damoh,MP
darjeeling,WB_Darjeeling,WB
valsad,GJ_Valsad,GJ
jamtara,JH_Jamtara,JH
cuttack,OR_Cuttack,OR
amravati,MH_Amravati,MH
sirohi,RJ_Sirohi,RJ
kokrajhar,AS_Kokrajhar,AS
uttara kannada,KA_Uttara Kannada,KA
jalgaon,MH_Jalgaon,MH
mathura,UP_Mathura,UP
dungarpur,RJ_Dungarpur,RJ
mahasamund,CT_Mahasamund,CT
pherzawl,MN_Pherzawl,MN
upper siang,AR_Upper Siang,AR
sonipat,HR_Sonipat,HR
murshidabad,WB_Murshidabad,WB
mulugu,TG_Mulugu,TG
kamrup,AS_Kamrup,AS
west khasi hills,ML_West Khasi Hills,ML
ganjam,OR_Ganjam,OR
east godavari,AP_East Godavari,AP
vikarabad,TG_Vikarabad,TG
bhilwara,RJ_Bhilwara,RJ
tapi,GJ_Tapi,GJ
sidhi,MP_Sidhi,MP
ganderbal,JK_Ganderbal,JK
wayanad,KL_Wayanad,KL
udalguri,AS_Udalguri,AS
kinnaur,HP_Kinnaur,HP
kollam,KL_Kollam,KL
thanjavur,TN_Thanjavur,TN
kamjong,MN_Kamjong,MN
guntur,AP_Guntur,AP
kullu,HP_Kullu,HP
mahisagar,GJ_Mahisagar,GJ
jind,HR_Jind,HR
raipur,CT_Raipur,CT
karimganj,AS_Karimganj,AS
panna,MP_Panna,MP
bishnupur,MN_Bishnupur,MN
harda,MP_Harda,MP
south salmara mankachar,AS_South Salmara Mankachar,AS
yavatmal,MH_Yavatmal,MH
junagadh,GJ_Junagadh,GJ
dadra and nagar haveli,DN_Dadra and Nagar Haveli,DN
tengnoupal,MN_Tengnoupal,MN
agar malwa,MP_Agar Malwa,MP
balrampur,CT_Balrampur,CT
cachar,AS_Cachar,AS
senapati,MN_Senapati,MN
khargone,MP_Khargone,MP
nagaur,RJ_Nagaur,RJ
pratapgarh,RJ_Pratapgarh,RJ
imphal west,MN_Imphal West,MN
jehanabad,BR_Jehanabad,BR
ahmednagar,MH_Ahmednagar,MH
nadia,WB_Nadia,WB
latehar,JH_Latehar,JH
ratlam,MP_Ratlam,MP
east kameng,AR_East Kameng,AR
samba,JK_Samba,JK
durg,CT_Durg,CT
jorhat,AS_Jorhat,AS
ambedkar nagar,UP_Ambedkar Nagar,UP
ribhoi,ML_Ribhoi,ML
jalaun,UP_Jalaun,UP
nawada,BR_Nawada,BR
lepa rada,AR_Lepa Rada,AR
warangal urban,TG_Warangal Urban,TG
amreli,GJ_Amreli,GJ
koppal,KA_Koppal,KA
panchkula,HR_Panchkula,HR
south tripura,TR_South Tripura,TR
north garo hills,ML_North Garo Hills,ML
khowai,TR_Khowai,TR
rae bareli,UP_Rae Bareli,UP
hailakandi,AS_Hailakandi,AS
nirmal,TG_Nirmal,TG
surguja,CT_Surguja,CT
saran,BR_Saran,BR
giridih,JH_Giridih,JH
rajnandgaon,CT_Rajnandgaon,CT
ahmedabad,GJ_Ahmedabad,GJ
bargarh,OR_Bargarh,OR
dindori,MP_Dindori,MP
jamnagar,GJ_Jamnagar,GJ
chittoor,AP_Chittoor,AP
aligarh,UP_Aligarh,UP
south 24 parganas,WB_South 24 Parganas,WB
delhi,DL_Delhi,DL
purba bardhaman,WB_Purba Bardhaman,WB
sultanpur,UP_Sultanpur,UP
hardoi,UP_Hardoi,UP
leh,LA_Leh,LA
alwar,RJ_Alwar,RJ
dakshin dinajpur,WB_Dakshin Dinajpur,WB
palghar,MH_Palghar,MH
nalgonda,TG_Nalgonda,TG
ukhrul,MN_Ukhrul,MN
upper subansiri,AR_Upper Subansiri,AR
alappuzha,KL_Alappuzha,KL
haridwar,UT_Haridwar,UT
nizamabad,TG_Nizamabad,TG
paschim medinipur,WB_Paschim Medinipur,WB
tuensang,NL_Tuensang,NL
davanagere,KA_Davanagere,KA
west godavari,AP_West Godavari,AP
south west garo hills,ML_South West Garo Hills,ML
baran,RJ_Baran,RJ
tawang,AR_Tawang,AR
nuh,HR_Nuh,HR
komaram bheem,TG_Komaram Bheem,TG
kasganj,UP_Kasganj,UP
east khasi hills,ML_East Khasi Hills,ML
banswara,RJ_Banswara,RJ
pune,MH_Pune,MH
gariaband,CT_Gariaband,CT
darrang,AS_Darrang,AS
theni,TN_Theni,TN
sonbhadra,UP_Sonbhadra,UP
buldhana,MH_Buldhana,MH
moradabad,UP_Moradabad,UP
araria,BR_Araria,BR
barmer,RJ_Barmer,RJ
sangli,MH_Sangli,MH
datia,MP_Datia,MP
birbhum,WB_Birbhum,WB
warangal rural,TG_Warangal Rural,TG
shajapur,MP_Shajapur,MP
charkhi dadri,HR_Charkhi Dadri,HR
bhojpur,BR_Bhojpur,BR
dharwad,KA_Dharwad,KA
gurdaspur,PB_Gurdaspur,PB
unnao,UP_Unnao,UP
jagtial,TG_Jagtial,TG
solan,HP_Solan,HP
south west khasi hills,ML_South West Khasi Hills,ML
sirmaur,HP_Sirmaur,HP
karimnagar,TG_Karimnagar,TG
kanpur dehat,UP_Kanpur Dehat,UP
lohit,AR_Lohit,AR
vellore,TN_Vellore,TN
kannur,KL_Kannur,KL
kheda,GJ_Kheda,GJ
amritsar,PB_Amritsar,PB
north 24 parganas,WB_North 24 Parganas,WB
saiha,MZ_Saiha,MZ
mumbai,MH_Mumbai,MH
tarn taran,PB_Tarn Taran,PB
balod,CT_Balod,CT
anantapur,AP_Anantapur,AP
vaishali,BR_Vaishali,BR
unokoti,TR_Unokoti,TR
faridabad,HR_Faridabad,HR
malappuram,KL_Malappuram,KL
raigarh,CT_Raigarh,CT
rewari,HR_Rewari,HR
deoghar,JH_Deoghar,JH
jammu,JK_Jammu,JK
parbhani,MH_Parbhani,MH
ratnagiri,MH_Ratnagiri,MH
kalimpong,WB_Kalimpong,WB
gurugram,HR_Gurugram,HR
reasi,JK_Reasi,JK
palwal,HR_Palwal,HR
chikkaballapura,KA_Chikkaballapura,KA
siwan,BR_Siwan,BR
lakhimpur,AS_Lakhimpur,AS
saharanpur,UP_Saharanpur,UP
ramgarh,JH_Ramgarh,JH
sheohar,BR_Sheohar,BR
north goa,GA_North Goa,GA
namsai,AR_Namsai,AR
betul,MP_Betul,MP
supaul,BR_Supaul,BR
jodhpur,RJ_Jodhpur,RJ
porbandar,GJ_Porbandar,GJ
chhindwara,MP_Chhindwara,MP
kamrup metropolitan,AS_Kamrup Metropolitan,AS
khagaria,BR_Khagaria,BR
nabarangapur,OR_Nabarangapur,OR
hazaribagh,JH_Hazaribagh,JH
west sikkim,SK_West Sikkim,SK
sangareddy,TG_Sangareddy,TG
hoshiarpur,PB_Hoshiarpur,PB
dindigul,TN_Dindigul,TN
anjaw,AR_Anjaw,AR
madurai,TN_Madurai,TN
gaya,BR_Gaya,BR
chitradurga,KA_Chitradurga,KA
bareilly,UP_Bareilly,UP
hamirpur,HP_Hamirpur,HP
champhai,MZ_Champhai,MZ
alirajpur,MP_Alirajpur,MP
siang,AR_Siang,AR
wanaparthy,TG_Wanaparthy,TG
coimbatore,TN_Coimbatore,TN
anantnag,JK_Anantnag,JK
amethi,UP_Amethi,UP
jaunpur,UP_Jaunpur,UP
varanasi,UP_Varanasi,UP
kaithal,HR_Kaithal,HR
sant kabir nagar,UP_Sant Kabir Nagar,UP
latur,MH_Latur,MH
hingoli,MH_Hingoli,MH
kushinagar,UP_Kushinagar,UP
thiruvallur,TN_Thiruvallur,TN
lakhimpur kheri,UP_Lakhimpur Kheri,UP
uttar bastar kanker,CT_Uttar Bastar Kanker,CT
banda,UP_Banda,UP
lalitpur,UP_Lalitpur,UP
chhatarpur,MP_Chhatarpur,MP
dumka,JH_Dumka,JH
yamunanagar,HR_Yamunanagar,HR
arwal,BR_Arwal,BR
chandigarh,CH_Chandigarh,CH
jalna,MH_Jalna,MH
kaushambi,UP_Kaushambi,UP
jabalpur,MP_Jabalpur,MP
kalaburagi,KA_Kalaburagi,KA
mansa,PB_Mansa,PB
ganganagar,RJ_Ganganagar,RJ
bijapur,CT_Bijapur,CT
koraput,OR_Koraput,OR
pithoragarh,UT_Pithoragarh,UT
karauli,RJ_Karauli,RJ
janjgir champa,CT_Janjgir Champa,CT
surajpur,CT_Surajpur,CT
east siang,AR_East Siang,AR
satna,MP_Satna,MP
paschim bardhaman,WB_Paschim Bardhaman,WB
daman,DN_Daman,DN
khammam,TG_Khammam,TG
sri muktsar sahib,PB_Sri Muktsar Sahib,PB
bagalkote,KA_Bagalkote,KA
baghpat,UP_Baghpat,UP
udupi,KA_Udupi,KA
dhule,MH_Dhule,MH
dima hasao,AS_Dima Hasao,AS
baksa,AS_Baksa,AS
begusarai,BR_Begusarai,BR
nanded,MH_Nanded,MH
lunglei,MZ_Lunglei,MZ
barnala,PB_Barnala,PB
dhar,MP_Dhar,MP
gopalganj,BR_Gopalganj,BR
jhajjar,HR_Jhajjar,HR
hanumangarh,RJ_Hanumangarh,RJ
lower dibang valley,AR_Lower Dibang Valley,AR
hathras,UP_Hathras,UP
muzaffarnagar,UP_Muzaffarnagar,UP
samastipur,BR_Samastipur,BR
godda,JH_Godda,JH
hyderabad,TG_Hyderabad,TG
narmada,GJ_Narmada,GJ
west garo hills,ML_West Garo Hills,ML
ashoknagar,MP_Ashoknagar,MP
dewas,MP_Dewas,MP
una,HP_Una,HP
kangpokpi,MN_Kangpokpi,MN
east jaintia hills,ML_East Jaintia Hills,ML
